initialising Thermocouples.
2 Found
2021-03-11 16:28:56,i,0.00
2021-03-11 16:28:56,p,30125.01
2021-03-11 16:28:56,pid,30124.99
2021-03-11 16:28:56,pidTrim,10000.00
2021-03-11 16:28:56,HeaterStatus,1
 
2021-03-11 16:28:56,Setpoint,38.90
2021-03-11 16:29:08,AvgTemp,33.0000
2021-03-11 16:29:08,Error,5.9000
2021-03-11 16:29:08,Trimmed I,0.00
2021-03-11 16:29:08,i,0.00
2021-03-11 16:29:08,p,29500.01
2021-03-11 16:29:08,pid,29500.00
2021-03-11 16:29:08,pidTrim,10000.00
2021-03-11 16:29:08,HeaterStatus,1
 
2021-03-11 16:29:08,Setpoint,38.90
2021-03-11 16:29:20,AvgTemp,33.1563
2021-03-11 16:29:20,Error,5.7438
2021-03-11 16:29:20,Trimmed I,0.00
2021-03-11 16:29:20,i,0.00
2021-03-11 16:29:20,p,28718.76
2021-03-11 16:29:20,pid,28718.74
2021-03-11 16:29:20,pidTrim,10000.00
2021-03-11 16:29:20,HeaterStatus,1
 
2021-03-11 16:29:20,Setpoint,38.90
2021-03-11 16:29:31,AvgTemp,33.3125
2021-03-11 16:29:31,Error,5.5875
2021-03-11 16:29:31,Trimmed I,0.00
2021-03-11 16:29:31,i,0.00
2021-03-11 16:29:31,p,27937.51
2021-03-11 16:29:31,pid,27937.49
2021-03-11 16:29:31,pidTrim,10000.00
2021-03-11 16:29:31,HeaterStatus,1
 
2021-03-11 16:29:31,Setpoint,38.90
2021-03-11 16:29:43,AvgTemp,33.4375
2021-03-11 16:29:43,Error,5.4625
2021-03-11 16:29:43,Trimmed I,0.00
2021-03-11 16:29:43,i,0.00
2021-03-11 16:29:43,p,27312.51
2021-03-11 16:29:43,pid,27312.50
2021-03-11 16:29:43,pidTrim,10000.00
2021-03-11 16:29:43,HeaterStatus,1
 
2021-03-11 16:29:43,Setpoint,38.90
2021-03-11 16:29:55,AvgTemp,33.5938
2021-03-11 16:29:55,Error,5.3063
2021-03-11 16:29:55,Trimmed I,0.00
2021-03-11 16:29:55,i,0.00
2021-03-11 16:29:55,p,26531.26
2021-03-11 16:29:55,pid,26531.24
2021-03-11 16:29:55,pidTrim,10000.00
2021-03-11 16:29:55,HeaterStatus,1
 
2021-03-11 16:29:55,Setpoint,38.90
2021-03-11 16:30:06,AvgTemp,33.7500
2021-03-11 16:30:06,Error,5.1500
2021-03-11 16:30:06,Trimmed I,0.00
2021-03-11 16:30:06,i,0.00
2021-03-11 16:30:06,p,25750.01
2021-03-11 16:30:06,pid,25749.99
2021-03-11 16:30:06,pidTrim,10000.00
2021-03-11 16:30:06,HeaterStatus,1
 
2021-03-11 16:30:06,Setpoint,38.90
2021-03-11 16:30:18,AvgTemp,33.8750
2021-03-11 16:30:18,Error,5.0250
2021-03-11 16:30:18,Trimmed I,0.00
2021-03-11 16:30:18,i,0.00
2021-03-11 16:30:18,p,25125.01
2021-03-11 16:30:18,pid,25125.00
2021-03-11 16:30:18,pidTrim,10000.00
2021-03-11 16:30:18,HeaterStatus,1
 
2021-03-11 16:30:18,Setpoint,38.90
2021-03-11 16:30:30,AvgTemp,34.0000
2021-03-11 16:30:30,Error,4.9000
2021-03-11 16:30:30,Trimmed I,0.00
2021-03-11 16:30:30,i,0.00
2021-03-11 16:30:30,p,24500.01
2021-03-11 16:30:30,pid,24500.00
2021-03-11 16:30:30,pidTrim,10000.00
2021-03-11 16:30:30,HeaterStatus,1
 
2021-03-11 16:30:30,Setpoint,38.90
2021-03-11 16:30:42,AvgTemp,34.1563
2021-03-11 16:30:42,Error,4.7438
2021-03-11 16:30:42,Trimmed I,0.00
2021-03-11 16:30:42,i,0.00
2021-03-11 16:30:42,p,23718.76
2021-03-11 16:30:42,pid,23718.74
2021-03-11 16:30:42,pidTrim,10000.00
2021-03-11 16:30:42,HeaterStatus,1
 
2021-03-11 16:30:42,Setpoint,38.90
2021-03-11 16:30:53,AvgTemp,34.2813
2021-03-11 16:30:53,Error,4.6188
2021-03-11 16:30:53,Trimmed I,0.00
2021-03-11 16:30:53,i,0.00
2021-03-11 16:30:53,p,23093.76
2021-03-11 16:30:53,pid,23093.75
2021-03-11 16:30:53,pidTrim,10000.00
2021-03-11 16:30:53,HeaterStatus,1
 
2021-03-11 16:30:53,Setpoint,38.90
2021-03-11 16:31:05,AvgTemp,34.4375
2021-03-11 16:31:05,Error,4.4625
2021-03-11 16:31:05,Trimmed I,0.00
2021-03-11 16:31:05,i,0.00
2021-03-11 16:31:05,p,22312.51
2021-03-11 16:31:05,pid,22312.49
2021-03-11 16:31:05,pidTrim,10000.00
2021-03-11 16:31:05,HeaterStatus,1
 
2021-03-11 16:31:05,Setpoint,38.90
2021-03-11 16:31:17,AvgTemp,34.6250
2021-03-11 16:31:17,Error,4.2750
2021-03-11 16:31:17,Trimmed I,0.00
2021-03-11 16:31:17,i,0.00
2021-03-11 16:31:17,p,21375.01
2021-03-11 16:31:17,pid,21374.99
2021-03-11 16:31:17,pidTrim,10000.00
2021-03-11 16:31:17,HeaterStatus,1
 
2021-03-11 16:31:17,Setpoint,38.90
2021-03-11 16:31:28,AvgTemp,34.7500
2021-03-11 16:31:28,Error,4.1500
2021-03-11 16:31:28,Trimmed I,0.00
2021-03-11 16:31:28,i,0.00
2021-03-11 16:31:28,p,20750.01
2021-03-11 16:31:28,pid,20750.00
2021-03-11 16:31:28,pidTrim,10000.00
2021-03-11 16:31:28,HeaterStatus,1
 
2021-03-11 16:31:28,Setpoint,38.90
2021-03-11 16:31:40,AvgTemp,34.9063
2021-03-11 16:31:40,Error,3.9938
2021-03-11 16:31:40,Trimmed I,0.00
2021-03-11 16:31:40,i,0.00
2021-03-11 16:31:40,p,19968.76
2021-03-11 16:31:40,pid,19968.74
2021-03-11 16:31:40,pidTrim,10000.00
2021-03-11 16:31:40,HeaterStatus,1
 
2021-03-11 16:31:40,Setpoint,38.90
2021-03-11 16:31:52,AvgTemp,35.0625
2021-03-11 16:31:52,Error,3.8375
2021-03-11 16:31:52,Trimmed I,0.00
2021-03-11 16:31:52,i,0.00
2021-03-11 16:31:52,p,19187.51
2021-03-11 16:31:52,pid,19187.49
2021-03-11 16:31:52,pidTrim,10000.00
2021-03-11 16:31:52,HeaterStatus,1
 
2021-03-11 16:31:52,Setpoint,38.90
2021-03-11 16:32:04,AvgTemp,35.2188
2021-03-11 16:32:04,Error,3.6813
2021-03-11 16:32:04,Trimmed I,0.00
2021-03-11 16:32:04,i,0.00
